OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2024-03-04T16:10:12.789696,15.49612634,.000582,51.6410,113.3520,325.6402,181.8190,0,U,25544,999,44234,.2783E-3,.1525E-3,0
ISS DEB1,1998-067RZ,2024-03-03T19:21:07.771680,16.25094736,.0001988,51.6138,22.9963,112.7223,327.8125,0,U,47853,999,17008,.31627E-3,.951005E-2,.1199E-4
CSS (TIANHE),2021-035A,2024-03-04T13:02:16.376640,15.63003884,.0006649,41.4694,2.6092,101.0277,259.1310,0,U,48274,999,16271,.40596E-3,.37802E-3,0
ISS (NAUKA),2021-066A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,49044,999,14809,.25486E-3,.13922E-3,0
FREGAT DEB,2011-037PF,2024-03-04T01:16:09.264000,12.11420218,.0935362,51.6482,287.8735,262.2166,87.1635,0,U,49271,999,12243,.26131E-1,.9394E-4,0
CSS (WENTIAN),2022-085A,2024-03-04T13:02:16.376640,15.63003884,.0006649,41.4694,2.6092,101.0277,259.1310,0,U,53239,999,16159,.40596E-3,.37802E-3,0
CSS (MENGTIAN),2022-143A,2024-03-04T13:02:16.376640,15.63003884,.0006649,41.4694,2.6092,101.0277,259.1310,0,U,54216,999,7616,.40596E-3,.37802E-3,0
ISS DEB2,1998-067VP,2024-03-04T08:53:08.896704,15.75652436,.0004914,51.6300,95.0767,6.8369,353.2697,0,U,57212,999,3949,.66822E-3,.105196E-2,0
CREW DRAGON 7,2023-128A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,57697,999,44188,.25486E-3,.13922E-3,0
SOYUZ-MS 24,2023-143A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,57862,999,2618,.25486E-3,.13922E-3,0
SHENZHOU-17 (SZ-17),2023-164A,2024-03-04T13:02:16.376640,15.63003884,.0006649,41.4694,2.6092,101.0277,259.1310,0,U,58146,999,16159,.40596E-3,.37802E-3,0
ISS DEB3,1998-067WA,2024-03-04T11:12:43.226208,15.82448665,.0007676,51.6298,102.4926,23.0230,337.1115,0,U,58174,999,2045,.16279E-2,.360881E-2,0
ISS DEB4,1998-067WC,2024-03-04T09:44:04.696224,15.63570061,.0003158,51.6356,108.8869,358.4685,1.6299,0,U,58229,999,1915,.8245E-3,.78281E-3,0
PROGRESS-MS 25,2023-184A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,58460,999,44188,.25486E-3,.13922E-3,0
BEAK,1998-067WD,2024-03-04T11:44:52.450944,15.60706425,.0004399,51.6368,110.9519,338.2135,21.8671,0,U,58612,999,1208,.91002E-3,.77315E-3,0
CLARK SAT-1 (AMBITIOUS),1998-067WE,2024-03-04T13:41:01.546656,15.70248131,.0009473,51.6334,108.4767,4.0220,356.0852,0,U,58613,999,1209,.14397E-2,.182407E-2,0
TIANZHOU-7,2024-013A,2024-03-04T13:02:16.376640,15.63003884,.0006649,41.4694,2.6092,101.0277,259.1310,0,U,58811,999,16159,.40596E-3,.37802E-3,0
CYGNUS NG-20,2024-021A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,58898,999,494,.25486E-3,.13922E-3,0
PROGRESS-MS 26,2024-029A,2024-03-04T12:26:27.638016,15.49607127,.0006107,51.6385,114.1272,325.8772,34.1824,0,U,58961,999,44188,.25486E-3,.13922E-3,0
CREW DRAGON 8,2024-042A,2024-03-04T04:14:08.731680,16.26106538,.0017785,51.6502,116.1578,7.8118,89.1633,0,U,59097,999,0,0,-.3802E-4,.12021E-4
